LIQRESOR,REALPROP,WRK_POOR,RAWNET,FSNONCIT,FSTANF,FSERNDED,SHELDED,CERTHHSZ,HWGT,FSSLTDE2,FSGRINC,FSEARN,FSSTDDE2,FSTOTDE2,FSTOTDED,RAWERND,FSUNEARN,TANF_IND,FSNELDER,TPOV,FSSLTDED,FSDIS,FSASSET,FSERNDE2,FSWAGES,FSUSIZE,FSSSI,FSNETINC,FSGA,CAT_ELIG,VEHICLEA,FSVEHAST
5.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,5.0,747.4949387192786,22.0,184.0,0.0,44.0,184.0,383.0,0.0,184.0,0.0,0.0,9.0,221.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,242.0,0.0,0.0,0.0,308.0,1.0,790.9869308826654,307.0,683.0,0.0,201.0,441.0,441.0,0.0,683.0,0.0,0.0,84.0,307.0,0.0,0.0,0.0,0.0,1.0,0.0,242.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,390.0,1.0,0.0,165.0,110.0,5.0,878.9891790964731,99.0,829.0,829.0,243.0,426.0,426.0,165.0,0.0,0.0,0.0,43.0,99.0,0.0,0.0,248.0,0.0,5.0,0.0,403.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,1.0,864.8845205265526,0.0,603.0,0.0,134.0,134.0,134.0,0.0,603.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,1.0,603.0,469.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,3.0,704.5805438707989,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,534.0,0.0,0.0,0.0,176.0,1.0,869.2314375616088,176.0,844.0,0.0,201.0,310.0,310.0,0.0,844.0,0.0,1.0,103.0,176.0,0.0,0.0,0.0,0.0,1.0,0.0,534.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,92.0,0.0,469.0,40.0,398.0,4.0,749.4024203653986,398.0,669.0,200.0,209.0,577.0,577.0,40.0,469.0,1.0,0.0,40.0,398.0,0.0,0.0,60.0,200.0,4.0,0.0,92.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,732.0,0.0,0.0,0.0,23.0,2.0,952.088838139332,0.0,890.0,0.0,134.0,134.0,134.0,0.0,890.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,756.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,854.0,0.0,390.0,0.0,0.0,4.0,997.1766915079196,0.0,993.0,0.0,139.0,139.0,139.0,0.0,993.0,1.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,4.0,603.0,854.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,231.0,0.0,183.0,1.0,711.655694960853,97.0,231.0,0.0,115.0,231.0,317.0,0.0,231.0,1.0,0.0,28.0,183.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11.0,0.0,1.0,0.0,0.0,0.0,47.0,417.0,5.0,747.4949387192786,328.0,537.0,237.0,153.0,537.0,626.0,47.0,300.0,0.0,0.0,28.0,417.0,0.0,11.0,0.0,237.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,858.0,0.0,0.0,0.0,152.0,2.0,984.6907159197356,152.0,1144.0,0.0,201.0,286.0,286.0,0.0,1144.0,0.0,1.0,104.0,152.0,1.0,0.0,0.0,0.0,2.0,0.0,858.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,714.0,0.0,0.0,213.0,0.0,4.0,951.534062604676,0.0,1066.0,1066.0,139.0,352.0,352.0,213.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,213.0,1066.0,4.0,0.0,714.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,2.0,1003.1651133253492,0.0,1246.0,0.0,134.0,134.0,134.0,0.0,1246.0,0.0,1.0,113.0,0.0,1.0,0.0,0.0,0.0,2.0,363.0,1112.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,114.0,0.0,0.0,0.0,350.0,4.0,755.9227959233921,350.0,603.0,0.0,209.0,489.0,489.0,0.0,603.0,0.0,0.0,36.0,350.0,1.0,0.0,0.0,0.0,4.0,603.0,114.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,201.0,0.0,0.0,180.0,388.0,1.0,777.946179776418,387.0,903.0,903.0,201.0,701.0,701.0,181.0,0.0,0.0,0.0,111.0,387.0,0.0,0.0,270.0,903.0,1.0,0.0,202.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,176.0,0.0,310.0,0.0,0.0,2.0,762.9979470141016,0.0,310.0,0.0,134.0,134.0,134.0,0.0,310.0,1.0,0.0,28.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,176.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,705.4012962642041,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.0,1.0,1200.0,0.0,320.0,129.0,21.0,5.0,1138.7174720868086,21.0,1513.0,648.0,183.0,312.0,312.0,130.0,865.0,1.0,0.0,78.0,21.0,0.0,9.0,150.0,648.0,5.0,0.0,1201.0,0.0,1.0,1.0,0.0
992.0,0.0,0.0,363.0,0.0,0.0,0.0,125.0,1.0,830.1091842290721,125.0,623.0,0.0,201.0,259.0,259.0,0.0,623.0,0.0,1.0,76.0,125.0,0.0,992.0,0.0,0.0,1.0,312.0,364.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,1.0,726.8699045935958,383.0,562.0,0.0,201.0,517.0,517.0,0.0,562.0,0.0,1.0,69.0,383.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0
419.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,1.0,711.655694960853,268.0,402.0,0.0,126.0,402.0,477.0,0.0,402.0,0.0,1.0,49.0,343.0,0.0,419.0,0.0,0.0,1.0,176.0,0.0,0.0,1.0,1.0,0.0
194.0,0.0,1.0,187.0,0.0,0.0,125.0,175.0,4.0,779.8308396397807,175.0,626.0,626.0,209.0,439.0,439.0,125.0,0.0,0.0,0.0,38.0,175.0,0.0,194.0,188.0,626.0,4.0,0.0,187.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,781.0,0.0,0.0,215.0,61.0,4.0,973.2686478004877,61.0,1243.0,1075.0,200.0,462.0,462.0,215.0,168.0,0.0,0.0,75.0,61.0,0.0,0.0,276.0,1075.0,4.0,0.0,781.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1241.0,0.0,0.0,170.0,0.0,3.0,1109.9305576091976,0.0,1546.0,854.0,134.0,304.0,304.0,171.0,692.0,0.0,0.0,112.0,0.0,1.0,0.0,170.0,854.0,3.0,0.0,1242.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,393.0,0.0,0.0,0.0,130.0,1.0,839.8897475593062,130.0,657.0,0.0,201.0,264.0,264.0,0.0,657.0,0.0,1.0,80.0,130.0,0.0,0.0,0.0,0.0,1.0,0.0,393.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,120.0,417.0,6.0,747.7609155795811,261.0,602.0,602.0,30.0,602.0,758.0,120.0,0.0,0.0,0.0,27.0,417.0,0.0,0.0,0.0,602.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,705.4012962642041,13.0,147.0,0.0,0.0,147.0,551.0,0.0,147.0,0.0,0.0,13.0,417.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,2.0,962.9561307354808,0.0,924.0,0.0,134.0,134.0,134.0,0.0,924.0,0.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,790.0,0.0,1.0,1.0,0.0
267.0,0.0,0.0,188.0,0.0,0.0,0.0,92.0,3.0,765.4373824019225,92.0,414.0,0.0,201.0,226.0,226.0,0.0,414.0,0.0,0.0,30.0,92.0,0.0,267.0,0.0,0.0,3.0,0.0,188.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,255.0,0.0,389.0,0.0,0.0,3.0,788.258696840136,0.0,389.0,0.0,134.0,134.0,134.0,0.0,389.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,255.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,711.655694960853,0.0,40.0,0.0,40.0,40.0,134.0,0.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,734.0,0.0,0.0,202.0,173.0,2.0,945.5684625756128,173.0,1244.0,1013.0,201.0,509.0,509.0,203.0,231.0,0.0,1.0,113.0,173.0,0.0,0.0,303.0,1013.0,2.0,0.0,735.0,231.0,0.0,1.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,463.0,1.0,730.1300923602863,413.0,603.0,0.0,201.0,547.0,547.0,0.0,603.0,0.0,0.0,74.0,413.0,1.0,0.0,0.0,0.0,1.0,603.0,56.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,747.0,0.0,0.0,0.0,0.0,1.0,869.2314375616088,0.0,881.0,0.0,134.0,134.0,134.0,0.0,881.0,0.0,0.0,108.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,747.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,536.0,0.0,0.0,0.0,198.0,1.0,869.2314375616089,198.0,923.0,0.0,201.0,386.0,386.0,0.0,923.0,0.0,1.0,113.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,537.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,677.0,0.0,231.0,0.0,129.0,2.0,926.0073359137072,129.0,940.0,0.0,201.0,263.0,263.0,0.0,940.0,1.0,0.0,85.0,129.0,1.0,0.0,0.0,0.0,2.0,156.0,677.0,0.0,1.0,1.0,0.0
